,brand,product,price,discount/on_sale,rating,product_urls,image_url,product_details
54,Giani Bernini," Giani Bernini Nappa Flap Crossbody, Created for Macy's",EUR 76.19,Sale EUR 45.72,3.75 out of 5 rating with 12 reviews,/shop/product/giani-bernini-giani-bernini-nappa-flap-crossbody-created-for-macys?ID=16954322&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/24703293_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    For days when you just have to be hands-free. An adjustable crossbody strap makes this always-convenient leather crossbody a fit for everyone..........7"" W x 5"" H x 1"" D;	weight: .31lb...Silhouette is based off 5'9"" model...Adjustable crossbody strap with 23"" drop...Top zip closure...Exterior features silver-tone hardware, logo plaque and 2 interior pockets with snap tab closure...Interior features divided interior...Leather...Imported......"
55,Brahmin, Marissa Steel Melbourne Leather Satchel,EUR 311.48,Now EUR 218.04,None,/shop/product/brahmin-marissa-steel-melbourne-leather-satchel?ID=17171455&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/25827513_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Brahmin's Marissa is a statement making satchel with functional features. An ample interior gives way to multiple pockets to keep you organized, while the convenient exterior slip pocket safety holds your phone for easy access.  .........Medium sized bag; 11-7/10""W x 8-3/4""H x 5-1/4""D (width is measured across the bottom of the bag); 2.1lbs. approx. weight ...Silhouette is based off 5'9"" model ...5""L rolled handles; 25""L adjustable strap ...Zip-top closure...Gold-tone hardware & exterior back slip pocket ...Interior zip & slip pockets, key clip & pen loops...Dust bag included ...Leather...Spot clean...Imported......"
56,Giani Bernini," Block Signature Tote, Created for Macy's",EUR 104.95,Sale EUR 62.97,4.5882 out of 5 rating with 17 reviews,/shop/product/giani-bernini-block-signature-tote-created-for-macys?ID=16044126&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/1230086_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Whether you're strolling through a farmer's market or rushing off to work, this essential carryall by Giani Bernini is an excellent choice. Graphic logo print and gleaming hardware add interesting contrast, while plenty of pockets organize the interior..........11-1/2"" W x 9"" H x 4-1/2"" D; weight: 2.2lb (width is measured across the bottom of handbag) ...Interior features center zip compartment, zip pocket, 2 slip pocket and ID window...Double handles with 10-1/2"" drop...Top zip closure...Exterior features silver-tone hardware; signature pattern all-over; 2 side slip pockets; back slip pocket; detachable signature charm...Silhouette is based off 5'9"" model....Faux leather: polyvinyl chloride...Imported......"
57,Brahmin, Leia Pomegranate Melbourne Crossbody,EUR 282.73,None,4.4 out of 5 rating with 10 reviews,/shop/product/brahmin-leia-pomegranate-melbourne-crossbody?ID=16667015&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/25942177_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    The Leia bag by Brahmin is an on-trend crossbody that as multi-functional as it is stylish. The webbed strap is comfortable and easily converts from a crossbody to a shoulder style..........Small sized bag; 11""W x 11-7/10""H x 2-1/2""D (width is measured across the bottom of handbag)...Silhouette is based off 5'9"" model ...11""L adjustable webbing strap ...Zip closure...Gold-tone hardware...Interior zip pocket, slip pockets & key clip ...Leather...Spot clean...Imported......"
58,Giani Bernini," Mixed-Media Croc East West Crossbody, Created for Macy's",EUR 85.78,Sale EUR 51.47,None,/shop/product/giani-bernini-mixed-media-croc-east-west-crossbody-created-for-macys?ID=16411425&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/25457097_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    A mix of chic textures adds stylish dimension to this sleek crossbody from Giani Bernini..........Small sized bag; 10-1/2""W x 8""H x 3""D (width is measured across the bottom of handbag); 1.45 lbs. approx. weight ...Silhouette is based off 5'9"" model ...24""L fixed adjustable crossbody strap...Snap closure...Gold-tone or silver-tone hardware, varies by color; logo plaque & exterior back zip pocket ...1 interior slip pocket, 1 zipper pocket, fits phone...Created for Macy's...Polyvinyl chloride, polyurethane; trim: polyester...Spot clean...Imported......"
59,Giani Bernini," Nappa 4-Poster Tote, Created for Macy's",EUR 124.11,Sale EUR 74.47,4.3636 out of 5 rating with 11 reviews,/shop/product/giani-bernini-nappa-4-poster-tote-created-for-macys?ID=17029107&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/24703343_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Pack up and go almost anywhere with this classic carryall from Giani Bernini. Signature metallic tone hardware dress the outside, while the roomy interior features plenty of pockets to safely stow all the essentials..........Medium sized bag: 12-1/2""W x 10-7/8""H x 5-7/8""D; weight: 1.58lb (width is measured across the bottom of handbag) ...Silhouette is based off 5'9"" model...Magnetic snap and zipper closures...Double handles with 10-1/2"" drop...Silver-tone or gold-tone hardware; 1 front zip pocket; 1 back zip pocket; 2 open pockets...Interior features 3 compartment pockets...Leather...Wipe clean...Imported......"
60,Giani Bernini," Saffiano Dome Satchel, Created for Macy's",EUR 95.36,Sale EUR 57.22,4.7333 out of 5 rating with 15 reviews,/shop/product/giani-bernini-saffiano-dome-satchel-created-for-macys?ID=14826224&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/3581110_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Work-to-weekend chic. Giani Bernini's structured satchel offers a roomy triple compartment design for easy organization..........Faux leather...Medium sized bag; 12-1/2""W x 9-1/4""H x 5""D; weight: 2.05lb; (width is measured across bottom of handbag)...6""L double handles; 24""L detachable, adjustable strap...Top zip closure...Exterior features silver-tone hardware, logo plate, buckle details and 1 zip pocket...1 interior center zip pocket, 1 zip pocket, 1 cellphone pocket & 1 key finder...Tablet compatible (std. size 8""-10"")...Silhouette is based off 5'9"" model...The White Handbag featured on The It List...Created for Macy's...Check out the video below!...Imported......"
61,I.N.C. International Concepts," Elliah Wrap Tote, Created for Macy's",EUR 95.36,Sale EUR 57.22,3.6929 out of 5 rating with 127 reviews,/shop/product/i.n.c.-international-concepts-elliah-wrap-tote-created-for-macys?ID=5018214&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/8945934_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    A classic style that pairs perfectly with any look. The Elliah Wrap Tote from I.N.C. International Concepts® has room to stash all you need (and then some) while boasting a sleek exterior and comfortable shoulder and crossbody straps..........Medium sized bag; 14""W x 11-1/4""H x 6""D (width is measured across bottom of the handbag) ...Silhouette is based off 5'9"" model...6""L handles; 9""L removable shoulder strap; 21""-24""L removable, adjustable crossbody strap...Zip closure...1 back exterior zip pocket...1 interior zip pocket, 2 slip pockets & center zip divider pocket...Gold-tone, gunmetal-tone or silver-tone hardware; varies by color...1.65 lbs approximate weight...Bag converts from tote to shoulder bag to crossbody by adding straps...Created for Macy's...Need more info? Click and play the video under the photo today!...Faux leather...Imported......"
62,I.N.C. International Concepts," Soft Shoulder, Created for Macy's",EUR 76.19,With offer EUR 30.48,5 out of 5 rating with 3 reviews,/shop/product/i.n.c.-international-concepts-soft-shoulder-created-for-macys?ID=16570648&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/21729777_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Shimmer and shine in the Soft Shoulder by I.N.C. International Concepts®..........Small sized bag; 11""W x 6""H x 1-1/2""D (width is measured across the bottom of bag) ...Silhouette is based off 5'9"" model ...9""L strap ...Zippered closure ...Silver-tone or gold-tone hardware, varies by color ...Interior slip pocket ...Created for Macy's ...Polyester, hotfix stones...Spot clean...Imported......"
63,Giani Bernini," Saffiano Croco Dome Satchel, Created for Macy's",EUR 95.36,Sale EUR 57.22,3.8667 out of 5 rating with 15 reviews,/shop/product/giani-bernini-saffiano-croco-dome-satchel-created-for-macys?ID=15526067&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/16531380_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Work-to-weekend chic. Giani Bernini's croc-embossed satchel offers a roomy triple compartment design for easy organization..........Medium sized bag; 13""W x 9-1/4""H x 5""D (width is measured across the bottom of handbag); 1.63 lbs. approx. weight ...Silhouette is based off 5'9"" model...6-1/2""L handles; 23""L removable, adjustable strap...Silver-tone exterior hardware & 1 back zip pocket...1 interior center zip pocket, 1 zip pocket, 1 cellphone pocket & 1 key leash; fits a iPad...Created for Macy's...PVC; trim: PVC...Imported......"
64,I.N.C. International Concepts," Huw Bangle Crossbody, Created for Macy's",EUR 76.19,Sale EUR 45.72,4.5143 out of 5 rating with 140 reviews,/shop/product/i.n.c.-international-concepts-huw-bangle-crossbody-created-for-macys?ID=5467267&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/9816228_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    I.N.C. International Concepts®' stylish bag makes your outfit of the day really pop..........Medium sized bag; 12-1/4""W x 15-1/2""H x 3-1/3""D (width is measured across the bottom of handbag)...Silhouette is based off 5'9"" model...4-3/4""L double handles; 27""L removable strap...Magnetic snap closure...Silver-, gold- or gunmetal-tone exterior hardware, 2 front zip pockets & 1 back zip pocket...1 interior zip pocket & 2 slip pockets...1.50 lbs approximate weight...Created for Macy's...Faux leather...Imported......"
65,Kipling, Elysia Satchel,EUR 99.67,With offer EUR 47.84 - 63.79,4.6765 out of 5 rating with 170 reviews,/shop/product/kipling-elysia-satchel?ID=2640876&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/20505593_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Get organized in a snap thanks to Kipling's lightweight multi-compartment satchel, made from easy-to-clean nylon with a matching monkey charm for a bit of personal style..........8""L double handles; 11-1/2"" to 25"" removable, adjustable crossbody strap...Zip closure...Exterior features silver-tone hardware, 1 front zip pocket and 2 top magnetic snap pockets...Interior features 1 zip pocket, 2 slip pockets, 1 pen slip pocket and key holder...13-1/4"" W x 8"" H x 3"" D (width is measured across bottom of the handbag)...Silhouette is based off 5'9"" model...Weight 0.88 ...Need more info? Click and play the video under the photo today!...Polyester...Spot clean...Imported......"
66,Patricia Nash, London Smooth Leather Saddle Bag,EUR 257.81,None,4.5036 out of 5 rating with 280 reviews,/shop/product/patricia-nash-london-smooth-leather-saddle-bag?ID=4429232&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/2833981_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Prepare for compliments, courtesy of Patricia Nash. Beautifully designed in rich, burnished leather, this signature crossbody bag comes equipped with a divided, pocket-lined interior so you can stay stylishly organized all day long..........Leather...Crossbody adjustable strap with 26"" drop...Fold-over flap with magnetic snap closure...Exterior features signature antique brass-tone hardware, deep embossed floret, heavy handcrafted stitching, burned edge finish, 1 front slip pocket (under flap), 1 front slit pocket (on flap) and 1 back pocket...Double-compartment interior features 1 zip compartment with 1 zip pocket and 1 open compartment with 2 slip pockets...12"" W x 10"" H x 5"" D; (width is measured across bottom of handbag)...Silhouette is based off 5'9"" model...2 lbs. approximate weight...Our 100% Full grain vegetable tanned leather comes from a LWG GOLD Certified tannery. This certified leather is traceable, does not come from deforested areas, and all raw material is a by-product of the beef industry....Need more info? Click and play the video under the photo today!...Woman Owned...Imported......"
67,Nine West, Brooklyn Jet Set Crossbody,EUR 66.13,With offer EUR 37.03,4.75 out of 5 rating with 4 reviews,/shop/product/nine-west-brooklyn-jet-set-crossbody?ID=14014939&isDlp=true,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/19544144_fpx.tif?$browse$&wid=376&fmt=webp 376w,"......    Nine West Brooklyn Jet Set Crossbody.........11""W x 6.7""H x 3.3""D; 0.91 lbs...Adjustable crossbody strap 23.5""...Zipper closure...Hardware-tone: light shiny brass...Interior: zipper pocket and cell pocket...PVC...Spot clean...Imported......"
